
X,      Y

6.7891,4.4901
6.3234,4.5567
6.3454,4.4112
6.3051,4.2342
6.3679,4.4567
6, 4.4576
9.4567,3.001
6.0001,4.3441
6.3445,4.2341
5.6344,4.4456
6.3001,4.4456
6.3234,4.5567
6.3454,4.4112
6.3051,4.2342
6.3679,4.4567
6, 4.4576
9.4567,3.001
6.0001,4.3441
6.3445,4.2341
5.6344,4.4456
6.3001,4.4456
6.3234,4.5567
6.3454,4.4112
6.3051,4.2342
6.3679,4.4567
6, 4.4576
9.4567,3.001
6.0001,4.3441
6.3445,4.2341
5.6344,4.4456
6.3001,4.4456
6.3234,4.5567
6.3454,4.4112
6.3051,4.2342
6.3679,4.4567
6, 4.4576
9.4567,3.001
6.0001,4.3441
6.3445,4.2341
5.6344,4.4456
6.3001,4.4456
